vehicle1.identifier,vehicle1.trajectory,vehicle2.identifier,vehicle2.trajectory,vehicle3.identifier,vehicle3.trajectory,vehicle4.identifier,vehicle4.trajectory,vehicle5.identifier,vehicle5.trajectory,distractors.butterfly_level,distractors.bird_level,distractors.far_moving_vegetation,distractors.close_moving_vegetation,occultants.solid_level,occultants.semi_transparent_level,capture.illumination_level,capture.global_light_change_level,capture.local_light_change_level,capture.heat_haze_level,capture.humidity_level,capture.fog_level,signal_quality.force_balance,signal_quality.luminance_mean,signal_quality.luminance_dev,signal_quality.chrominance_U_mean,signal_quality.chrominance_U_dev,signal_quality.chrominance_V_mean,signal_quality.chrominance_V_dev,signal_quality.blur_level,signal_quality.static_noise_level,signal_quality.dynamic_noise_level,signal_quality.frame_instability,signal_quality.line_instability,signal_quality.compression_artefact_level,label_(0_if_usable_and_1_if_not)
5,0,14,2,1,0,3,6,15,2,0.524668,0.21043,0.832859,0.0796658,0.609094,0.451004,0.729618,0.397477,0.0269812,0,0,0,0,137.841,78.369,120.258,5.23158,140.907,18.0126,0,0,0,0,0,0,0
7,6,14,7,12,5,12,3,8,3,0.0601638,0.000466675,0.66417,0.0300667,0.427495,0.243482,0.909698,0.183565,0.0672765,0.12764,0,0,0,80.1363,12.9715,136.591,31.9374,138.761,30.5142,0,0,0,0,0,0,0
8,0,1,0,9,4,13,6,2,3,0.160286,0.0674125,0.145381,0.731,0.000939875,0.249796,0.313071,0.176713,0.0406016,0,0,0,0,164.683,76.3632,120.405,4.45041,141.904,19.2111,0,0,0,0,0,0,0
8,6,14,0,13,5,0,5,4,5,0.282144,0.0694108,0.00122504,0.903418,0.251206,0.365007,0.9046,0.515302,0.0380876,0.0533766,0,0,0,145.534,66.8499,142.225,30.7798,138.511,27.6095,0,0,0,0,0,0,0
2,7,5,5,15,4,10,4,12,7,0.49364,0.0973621,0.142408,0.32448,0.74578,0.256613,0.972214,0.0507872,0.337713,0.141239,0,0,0,166.745,73.2178,113.036,9.17327,141.794,8.11782,0,0,0,0,0,0,0
9,4,6,7,15,0,10,7,14,5,0.152523,0.170624,0.973626,0.468671,0.464351,0.600137,0.774,0.567599,0.0198971,0,0,0,1,166.075,79.256,122.317,2.17577,129.561,1.29632,0,0,0,0,0,0,0
5,5,11,2,6,3,0,4,7,5,0.340371,0.00390564,0.271333,0.319028,0.973359,0.914563,0.782519,0.105465,0.0801724,0,0,0,0,158.083,74.5266,136.195,18.4639,130.162,21.869,0,0.410661,0,0,0,0,0
10,1,5,2,10,1,4,2,2,5,0.0397902,0.272717,0.702269,0.746215,0.747623,0.275059,0.971575,0.0982128,0.781248,0.891748,0,0,0,165.898,13.0512,139.489,31.3225,139.275,21.2744,0,0,0,0,0,0,0
13,3,10,1,2,4,5,5,11,7,0.454675,0.504874,0.590396,0.782503,0.408832,0.242997,0.916593,0.0546875,0.0346451,0.01342,0,0,0,175.182,38.8985,117.799,29.3282,143.625,23.5327,0,0,0,0,0,0,0
8,1,12,0,13,0,1,4,12,0,0.0533914,0.0571026,0.143882,0.914943,0.204734,0.61849,0.121545,0.122638,0.290984,0,0,0,0,122.288,42.5971,135.47,1.6005,129.131,24.5489,0,0,0,0,0,0,0
9,0,4,1,4,7,7,4,3,3,0.75089,0.271107,0.457477,0.648764,0.354398,0.140508,0.681129,0.571233,0.781794,0,0,0,0,104.861,33.3667,122.815,16.0287,128.283,5.9408,0,0,0,0,0,0,0
13,7,14,6,8,6,0,5,10,2,0.341844,0.00558253,0.393388,0.415359,0.221243,0.992994,0.525636,0.0876721,0.677289,0,0,0,0,88.0033,80.5747,122.952,25.601,116.431,24.2371,0,0,0,0,0.125877,0,0
8,3,0,6,4,2,5,3,7,1,0.214172,0.017972,0.109201,0.958741,0.36104,0.958182,0.684021,0.0053766,0.11023,0,0,0,0,100.951,36.1257,114.035,17.239,122.868,11.9458,0,0,0.103721,0,0,0,0
9,6,11,0,12,6,4,5,2,1,0.299781,0.178322,0.110008,0.437823,0.636425,0.281938,0.533899,0.622757,0.307661,0,0,0,0,108.269,75.8057,118.739,6.56409,139.079,28.9054,0,0,0,0,0,0,0
13,4,12,7,0,6,5,2,10,3,0.26862,0.0522243,0.0390029,0.365567,0.284498,0.748207,0.34961,0.640272,0.0731435,0,0,0,0,96.3746,27.7559,126.13,7.62395,113.078,4.2791,0,0,0,0.123065,0,0,0
9,3,8,0,9,6,14,3,14,4,0.529991,0.147708,0.55034,0.493078,0.455288,0.824682,0.840378,0.0915451,0.797207,0,0,0,0,119.305,73.8071,139.695,19.3865,128.017,19.4184,0,0,0,0,0,0,0
5,5,9,7,14,3,1,0,15,2,0.0736537,0.127357,0.594152,0.486406,0.269034,0.921832,0.899469,0.0553013,0.0988856,0,0,0,0,120,24.5589,141.546,23.2831,114.246,20.4924,0,0,0,0,0.449427,0.654395,0
5,4,14,7,4,0,10,5,15,2,0.126115,0.209428,0.224475,0.545717,0.336843,0.390202,0.673493,0.797571,0.0659449,0,0,0,0,121.043,71.8963,120.139,25.1796,120.457,17.0481,0,0,0,0,0,0,0
10,2,10,4,0,1,12,1,8,7,0.35281,0.0703351,0.465517,0.469728,0.496146,0.236248,0.533951,0.0880029,0.0139321,0,0,0,0,81.9502,20.9227,143.73,10.1893,124.745,9.30094,0,0,0,0,0.679548,0,0
3,3,4,3,3,4,2,7,8,5,0.608183,0.117489,0.638895,0.926897,0.0991725,0.959708,0.529766,0.0221289,0.105517,0,0,0,0,146.674,10.3212,116.9,28.5501,125.341,10.8469,0,0,0,0,0,0,0
11,6,10,1,14,1,3,5,13,4,0.101424,0.0742533,0.937771,0.0340007,0.68192,0.394361,0.964594,0.371769,0.0361014,0.383455,0,0,0,100.962,46.4239,142.869,2.19447,143.707,28.1725,0,0,0,0,0,0,0
1,0,6,0,11,1,5,6,9,7,0.84221,0.0378723,0.683868,0.695814,0.708336,0.539197,0.911284,0.276561,0.312571,0.77398,0,0,0,121.044,10.6951,133.556,16.0497,129.197,19.5928,0,0,0,0,0,0,0
5,2,7,2,12,6,13,3,1,1,0.691086,0.066274,0.0732352,0.0089955,0.501257,0.0741117,0.76041,0.431019,0.147784,0,0,0,0,140.253,50.0269,128.076,11.8461,133.089,11.4035,0,0,0,0,0,0.242016,0
9,5,6,6,11,2,8,1,6,3,0.131499,0.000899211,0.964323,0.164883,0.248444,0.12065,0.710473,0.237086,0.649333,0,0,0,0,135.137,84.9123,141.086,16.5343,123.94,5.74696,0,0,0,0.617452,0,0,0
14,0,14,5,13,0,9,4,7,2,0.904625,0.0375368,0.826778,0.141193,0.834969,0.201108,0.706456,0.146453,0.0225587,0,0,0,0,113.751,45.9601,119.009,23.433,114.918,4.79923,0,0,0,0,0,0,0
